Year,C_Imports,C_Exports,C_Balance,M_Imports,M_Exports,M_Balance,C_TFP,M_TFP,US_TFP,C_Unemployment,M_Unemployment,US_Unemployment,C_GDPpc,M_GDPpc,US_GDPpc
1985,69006.4,47251,-21755.4,19131.7,13634.7,-5497,0.938977957,0.954842091,1,,,,14060.46178,2385.757898,18269.42217
1986,68252.7,45332.5,-22920.2,17301.7,12391.7,-4910,0.895049453,0.844158053,1,,,,14403.8287,1639.74045,19115.05291
1987,71084.9,59814.3,-11270.6,20270.8,14582.3,-5688.5,0.90631777,0.816465795,1,,,,16245.45168,1740.869082,20100.85889
1988,81398,71622,-9776,23259.8,20628.5,-2631.3,0.903522372,0.777007401,1,,,,18864.26292,2227.405074,21483.23306
1989,87953,78808.9,-9144.1,27162.1,24982,-2180.1,0.906794369,0.768047631,1,,,,20638.29005,2657.600352,22922.43709
1990,91380.1,83673.8,-7706.3,30156.8,28279,-1877.8,0.882332444,0.775092483,1,,,,21371.2911,3068.702312,23954.47935
1991,91063.9,85149.8,-5914.1,31129.6,33277.2,2147.6,0.851691306,0.784228325,1,10.30000019,3,6.900000095,21664.59864,3600.04513,24405.16481
1992,98629.8,90594.3,-8035.5,35211.1,40592.3,5381.2,0.856233954,0.760289907,1,11.19999981,3.099999905,7.599999905,20771.25035,4080.452034,25492.95165
1993,111216.4,100444.2,-10772.2,39917.5,41580.8,1663.3,0.842269897,0.72938633,1,11.39999962,3.200000048,7,20017.42985,5544.932656,26464.85251
1994,128405.9,114438.6,-13967.3,49493.7,50843.5,1349.8,0.846008062,0.707418561,1,10.39999962,4.199999809,6.199999809,19859.20398,5690.67454,27776.63553
1995,144369.9,127226,-17143.9,62100.4,46292.1,-15808.3,0.861398041,0.648753107,1,9.5,6.900000095,5.699999809,20577.48939,3640.833541,28782.17502
1996,155892.6,134210.2,-21682.4,74297.2,56791.6,-17505.6,0.835915625,0.63016659,1,9.600000381,5.199999809,5.5,21183.22008,4131.80573,30068.23092
1997,167234.1,151766.7,-15467.4,85937.6,71388.5,-14549.1,0.850203216,0.626204312,1,9.100000381,4.099999905,5,21770.13408,4907.333119,31572.69023
1998,173256,156603.5,-16652.5,94629,78772.6,-15856.4,0.845779836,0.643800735,1,8.300000191,3.599999905,4.599999905,20887.83947,5038.629598,32949.19776
1999,198711.1,166600,-32111.1,109720.5,86908.9,-22811.6,0.871108174,0.619968176,1,7.599999905,2.5,4.300000191,22167.22585,5722.122144,34620.9289
2000,230838.3,178940.9,-51897.4,135926.3,111349,-24577.3,0.910545051,0.677687526,1,6.800000191,2.599999905,4.099999905,24124.16917,6649.716383,36449.85512
2001,216267.9,163424.1,-52843.8,131337.9,101296.5,-30041.4,0.902275383,0.685878336,1,7.199999809,2.5,4.800000191,23691.59472,6952.289348,37273.6181
2002,209087.7,160922.7,-48165,134616,97470.1,-37145.9,0.897967398,0.679800034,1,7.699999809,2.900000095,5.900000095,24167.80431,7023.787376,38166.03784
2003,221594.6503,169923.6717,-51670.9786,138059.9907,97411.79335,-40648.19735,0.891587079,0.674403131,1,7.599999905,3,6.099999905,28172.14883,6673.1667,39677.19835
2004,256359.8359,189879.8663,-66479.9696,155901.5209,110731.2849,-45170.236,0.88245064,0.689030349,1,7.199999809,3.700000048,5.599999905,31979.87195,7115.121769,41921.80976
2005,290384.2932,211898.6894,-78485.6038,170108.6141,120247.5801,-49861.034,0.903856397,0.695241153,1,6.699999809,3.5,5.199999809,36189.58838,7893.962197,44307.92058
2006,302437.8593,230656.0136,-71781.8457,198253.159,133721.7128,-64531.4462,0.89165169,0.727946401,1,6.300000191,3.200000048,4.699999809,40386.69948,8666.335353,46437.06712
2007,317056.7626,248888.1446,-68168.618,210713.9668,135918.1387,-74795.8281,0.88348937,0.745896816,1,6,3.400000095,4.699999809,44544.5268,9222.883991,48061.53766
2008,339491.4254,261149.8335,-78341.5919,215941.6189,151220.0565,-64721.5624,0.899767756,0.745948672,1,6.099999905,3.5,5.900000095,46596.33599,9578.570562,48401.42734
2009,226248.449,204657.9552,-21590.4938,176654.3726,128892.1376,-47762.235,0.811823726,0.672991455,1,8.300000191,5.199999809,9.399999619,40773.45436,7661.208405,47001.55535
2010,277636.733,249256.4593,-28380.2737,229985.623,163664.6455,-66320.9775,0.802846193,0.63618058,1,8,5.199999809,9.699999809,47445.76193,8861.49372,48374.08679
2011,315324.7533,281291.5308,-34033.2225,262873.596,198288.7373,-64584.8587,0.807021797,0.633205175,1,7.400000095,5.300000191,9,52083.82622,9730.277761,49781.80066
2012,324263.0126,292650.5341,-31612.4785,277593.6395,215875.1159,-61718.5236,0.782219708,0.614533603,1,7.199999809,4.900000095,8.199999809,52495.28847,9720.561674,51433.04709
2013,332503.6453,300754.869,-31748.7763,280556.0402,225954.3678,-54601.6724,0.775406241,0.609884799,1,7.099999905,4.900000095,7.400000095,52266.17568,10198.6473,52749.91124
2014,349277.8436,312816.9505,-36460.8931,295739.4811,240331.1768,-55408.3043,0.781276345,0.6035797,1,6.900000095,4.900000095,6.199999809,50185.4815,10353.44798,54539.66558
2015,296155.599,280609.0056,-15546.5934,296407.9011,235745.1375,-60662.7636,,,,,,,43248.52991,9005.024265,56115.71843
2016,254756.124,245619.2378,-9136.8862,270647.2446,211848.667,-58798.5776,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,
Trade,US Census Bureau,,,,,,,,,,,,,,
TFP,FRED,,,,,,,,,,,,,,
Unemployment,World Bank,,,,,,,,,,,,,,
GDPpc,World Bank,,,,,,,,,,,,,,
